customer_id,first_name,last_name,state
112,Ryan,Anderson,Colorado
122,Sophia,Cook,Massachusetts
125,Aubrey,White,South Carolina
137,Caleb,Garcia,New Mexico
189,Mia,Howard,Utah
194,Anna,Wright,South Carolina
257,Henry,Phillips,Virginia
267,Chloe,Williams,South Carolina
335,Scarlett,Collins,Montana
387,Mila,Richardson,Rhode Island
458,Sophia,Thompson,Nevada
600,Lucas,Carter,Vermont
640,Wyatt,Wilson,Oregon
668,Joshua,Bailey,Alaska
709,Eli,Wilson,Rhode Island
711,Josiah,Williams,Rhode Island
717,Chloe,Carter,Colorado
733,Isaac,Garcia,South Dakota
759,Eli,Martin,Washington
793,Julian,Collins,New Mexico
816,Jackson,Jones,Colorado
839,John,Taylor,Vermont
873,Charles,Campbell,Georgia
960,Jackson,Ward,Montana
964,Nova,Stewart,Florida
968,Dylan,Murphy,Rhode Island
1032,Christopher,Murphy,New Mexico
1042,Aurora,Peterson,Ohio
1046,Aurora,Thompson,North Dakota
1060,Aubrey,Moore,Rhode Island
1063,Violet,Brooks,Delaware
1175,Mila,Collins,Idaho
1190,Natalie,Gray,Minnesota
1192,Riley,Lee,Ohio
1203,Nova,Carter,Louisiana
1209,Brooklyn,Clark,North Dakota
1253,Ella,Reed,Texas
1266,Amelia,Taylor,Texas
1270,Matthew,Baker,Michigan
1297,Christopher,Martinez,Arkansas
1319,Dylan,Stewart,New Mexico
1367,Everly,Miller,Idaho
1374,William,Roberts,Indiana
1376,Quinn,Parker,Nevada
1483,Amelia,Miller,Nevada
1488,Ryan,Campbell,Vermont
1503,Hannah,Ramirez,South Carolina
1561,Charles,Evans,Arizona
1593,Connor,Turner,Nebraska
1598,Eli,Hayes,South Dakota
1626,Sebastian,Torres,Alaska
1649,Scarlett,Campbell,Montana
1667,Josiah,Edwards,Idaho
1720,Victoria,Jackson,Utah
1753,Claire,Perez,California
1771,Skylar,Anderson,Colorado
1773,Paisley,Reed,Hawaii
1799,Hunter,Rogers,Wisconsin
1815,Jackson,Ward,Maine
1900,Luke,Taylor,Utah
1945,Wyatt,Taylor,Montana
2030,Levi,Phillips,Kentucky
2074,Addison,Evans,Colorado
2114,Ryan,White,Texas
2236,Ursula,Mitchell,Michigan
2270,Landon,Collins,Tennessee
2313,Aubrey,King,Vermont
2429,Kayla,Wilson,Maine
2448,Luke,Murphy,Rhode Island
2508,Isabella,Evans,Nebraska
2510,Owen,Bailey,Nebraska
2540,Adrian,Campbell,Mississippi
2541,Gabriel,Torres,Vermont
2553,Nora,Parker,Ohio
2600,Joseph,Young,Hawaii
2606,Scarlett,Bailey,Hawaii
2642,Violet,Martinez,Maryland
2659,Ryan,Cook,North Dakota
2687,Paisley,Lee,Michigan
2699,Tara,Scott,Oregon
2712,Daniel,Wilson,California
2728,Samuel,Martin,Delaware
2731,Claire,Lopez,Michigan
2751,Scarlett,Campbell,Georgia
